first_name,last_name,birth_dt,gender,class,luggage_weight,cityA,cityB,flight_dt,airplane_model
Noella,Godehard.sf,11/26/1988,Female,1,16.6,Katowice,Berlin,9/19/2019,Boeing 737
Gwennie,Phinnessy,5/17/1992,Female,2,32.8,Chicago,Berlin,5/5/2019,Boeing 474
Kimmy,Gascone,6/24/1974,Female,2,37.0,Paris,Katowice,2/7/2019,Boeing 737
Cal,Van Geffen,5/5/1993,Female,0,20.6,Rome,Warsaw,9/23/2019,Airbus A320
Douglas,Luto,8/27/2000,Male,1,8.6,Chicago,London,12/17/2019,Boeing 474
Alasdair,Biddy,10/2/1971,Male,0,4.7,Frankfurt,New York,10/9/2019,Boeing 737
Lotte,Chaunce,11/23/1978,Female,1,16.8,Tokio,Tokio,12/19/2019,Boeing 737
Carey,Tattoo,3/21/1979,Male,2,30.6,Katowice,London,4/9/2019,Boeing 737
Hercule,Langman,11/11/1983,Male,2,16.2,London,Rome,12/1/2019,Boeing 474
Derek,Behnecke,5/25/1972,Male,1,32.7,Rome,Katowice,9/22/2019,Airbus A330
Adelheid,Ruprechter,5/9/1972,Female,2,8.4,New York,Paris,4/4/2019,Boeing 737
Yalonda,Churms,3/1/2000,Female,0,28.2,Paris,Paris,3/30/2019,Boeing 777
Christiana,Pickvance,6/21/1978,Female,2,10.1,Berlin,Tokio,7/8/2019,Boeing 777
Kele,Fenkel,3/8/1999,Male,0,1.0,Paris,Tokio,7/31/2019,Airbus A320
Kliment,Hubbock,3/4/1992,Male,1,8.3,Warsaw,Katowice,10/6/2019,Boeing 474
Derk,Lindemann,3/5/1993,Male,1,21.3,Chicago,Tokio,3/3/2019,Boeing 474
Florinda,Mattusevich,5/7/2000,Female,0,33.7,Frankfurt,Paris,7/2/2019,Boeing 777
Florence,Tuckwell,10/21/1978,Female,1,8.7,Paris,New York,5/21/2019,Airbus A330
Angel,Hammerson,2/18/1977,Female,2,24.8,New York,Tokio,1/13/2019,Boeing 474
Theressa,Hanham,12/3/1997,Female,1,36.6,Berlin,Rome,2/28/2019,Airbus A330
Elinor,Millan,3/21/1984,Female,0,15.4,Katowice,New York,2/4/2019,Boeing 474
Derrek,Arboin,3/29/1975,Male,0,7.1,New York,Chicago,2/2/2019,Boeing 777
Jolie,Godbehere,7/30/1977,Female,1,14.5,Paris,New York,3/7/2019,Boeing 474
Urbain,Fripps,9/9/1972,Male,1,30.2,Katowice,Warsaw,11/1/2019,Airbus A320
Luke,Turfs,3/13/2003,Male,1,32.9,Tokio,Tokio,10/15/2019,Boeing 474
Rock,Killock,6/16/1997,Male,1,23.3,Warsaw,Chicago,6/1/2019,Boeing 737
Tiphani,Dreakin,2/15/2007,Female,2,15.9,Paris,Chicago,12/23/2019,Boeing 737
Rod,Proudler,1/11/1981,Male,1,15.9,Berlin,Tokio,12/13/2019,Boeing 777
Cobby,Magrane,3/2/2003,Male,2,0.9,Chicago,New York,12/14/2019,Airbus A320
Georgena,Skipsey,8/15/1977,Female,2,22.9,Paris,New York,5/6/2019,Airbus A330
Lenard,Mariel,8/21/1975,Male,1,13.0,Berlin,Frankfurt,12/12/2019,Airbus A330
Blake,Goldthorp,8/20/1991,Female,2,19.6,Chicago,London,9/4/2019,Boeing 737
Carney,Hubbins,1/5/2005,Male,0,2.2,Katowice,Tokio,12/20/2019,Boeing 777
Winifield,Yurocjhin,4/9/1976,Male,0,36.3,Frankfurt,Frankfurt,9/17/2019,Boeing 777
Denyse,Paolo,8/30/1974,Female,1,26.8,Rome,New York,8/27/2019,Airbus A330
Lauree,Dumbellow,2/20/2004,Female,2,38.1,New York,Tokio,10/31/2019,Airbus A330
Bronnie,Skeete,3/9/2004,Male,0,38.0,Katowice,Berlin,10/31/2019,Boeing 777
Harv,Nye,4/2/2010,Male,1,35.0,New York,Paris,6/20/2019,Boeing 737
Roldan,Fawdrey,5/8/1982,Male,2,29.8,Chicago,Rome,9/27/2019,Boeing 737
Blinny,Peeke-Vout,11/7/2002,Female,2,16.1,New York,Berlin,7/8/2019,Boeing 737
Shana,Moncur,12/14/1977,Female,0,30.5,Tokio,Tokio,6/17/2019,Airbus A330
Cory,Pavia,10/22/1992,Female,2,7.1,Katowice,Tokio,4/7/2019,Boeing 777
